ReferenceDate;SourceCurrencyCode;TargetCurrencyCode;ExchangeRate
1/2/2023;CAD;EUR;0.684
1/2/2023;AUD;EUR;0.621
1/2/2023;BRL;EUR;0.18
1/2/2023;KRW;EUR;0.0007
1/3/2023;USD;EUR;0.9
1/3/2023;EUR;EUR;1
1/3/2023;GBP;EUR;1.125
1/3/2023;JPY;EUR;0.0067
1/3/2023;CAD;EUR;0.684
1/3/2023;AUD;EUR;0.621
1/3/2023;BRL;EUR;0.18
1/3/2023;KRW;EUR;0.0007
1/4/2023;USD;EUR;0.9
1/4/2023;EUR;EUR;1
1/4/2023;GBP;EUR;1.125
1/4/2023;JPY;EUR;0.0067
1/4/2023;CAD;EUR;0.684
1/4/2023;AUD;EUR;0.621
1/4/2023;BRL;EUR;0.18
1/4/2023;KRW;EUR;0.0007
1/5/2023;USD;EUR;0.9
1/5/2023;EUR;EUR;1
1/5/2023;GBP;EUR;1.125
1/5/2023;JPY;EUR;0.0067
1/5/2023;CAD;EUR;0.684
1/5/2023;AUD;EUR;0.621
1/5/2023;BRL;EUR;0.18
1/5/2023;KRW;EUR;0.0007
1/6/2023;USD;EUR;0.9
1/6/2023;EUR;EUR;1
1/6/2023;GBP;EUR;1.125
1/6/2023;JPY;EUR;0.0067
1/6/2023;CAD;EUR;0.684
1/6/2023;AUD;EUR;0.621
1/6/2023;BRL;EUR;0.18
1/6/2023;KRW;EUR;0.0007
1/7/2023;USD;EUR;0.9
1/7/2023;EUR;EUR;1
1/7/2023;GBP;EUR;1.125
1/7/2023;JPY;EUR;0.0067
1/7/2023;CAD;EUR;0.684
1/7/2023;AUD;EUR;0.621
1/7/2023;BRL;EUR;0.18
1/7/2023;KRW;EUR;0.0007
1/8/2023;USD;EUR;0.9
1/8/2023;EUR;EUR;1
1/8/2023;GBP;EUR;1.125
1/8/2023;JPY;EUR;0.0067
1/8/2023;CAD;EUR;0.684
1/8/2023;AUD;EUR;0.621
1/8/2023;BRL;EUR;0.18
1/8/2023;KRW;EUR;0.0007
1/9/2023;USD;EUR;0.9
1/9/2023;EUR;EUR;1
1/9/2023;GBP;EUR;1.125
1/9/2023;JPY;EUR;0.0067
1/9/2023;CAD;EUR;0.684
1/9/2023;AUD;EUR;0.621
1/9/2023;BRL;EUR;0.18
1/9/2023;KRW;EUR;0.0007
1/10/2023;USD;EUR;0.9
1/10/2023;EUR;EUR;1
1/10/2023;GBP;EUR;1.125
1/10/2023;JPY;EUR;0.0067
1/10/2023;CAD;EUR;0.684
1/10/2023;AUD;EUR;0.621
1/10/2023;BRL;EUR;0.18
1/10/2023;KRW;EUR;0.0007
1/11/2023;USD;EUR;0.9
1/11/2023;EUR;EUR;1
1/11/2023;GBP;EUR;1.125
1/11/2023;JPY;EUR;0.0067
1/11/2023;CAD;EUR;0.684
1/11/2023;AUD;EUR;0.621
1/11/2023;BRL;EUR;0.18
1/11/2023;KRW;EUR;0.0007
1/12/2023;USD;EUR;0.9
1/12/2023;EUR;EUR;1
1/12/2023;GBP;EUR;1.125
1/12/2023;JPY;EUR;0.0067
1/12/2023;CAD;EUR;0.684
1/12/2023;AUD;EUR;0.621
1/12/2023;BRL;EUR;0.18
1/12/2023;KRW;EUR;0.0007
1/1/2024;USD;EUR;0.9
1/1/2024;EUR;EUR;1
1/1/2024;GBP;EUR;1.125
1/1/2024;JPY;EUR;0.0067
1/1/2024;CAD;EUR;0.684
1/1/2024;AUD;EUR;0.621
1/1/2024;BRL;EUR;0.18
1/1/2024;KRW;EUR;0.0007
1/2/2024;USD;EUR;0.9
1/2/2024;EUR;EUR;1
1/2/2024;GBP;EUR;1.125
1/2/2024;JPY;EUR;0.0067
1/2/2024;CAD;EUR;0.684
1/2/2024;AUD;EUR;0.621
1/2/2024;BRL;EUR;0.18
1/2/2024;KRW;EUR;0.0007
1/3/2024;USD;EUR;0.9
1/3/2024;EUR;EUR;1
1/3/2024;GBP;EUR;1.125
1/3/2024;JPY;EUR;0.0067
1/3/2024;CAD;EUR;0.684
1/3/2024;AUD;EUR;0.621
1/3/2024;BRL;EUR;0.18
1/3/2024;KRW;EUR;0.0007
1/4/2024;USD;EUR;0.9
1/4/2024;EUR;EUR;1
1/4/2024;GBP;EUR;1.125
1/4/2024;JPY;EUR;0.0067
1/4/2024;CAD;EUR;0.684
1/4/2024;AUD;EUR;0.621
1/4/2024;BRL;EUR;0.18
1/4/2024;KRW;EUR;0.0007
1/5/2024;USD;EUR;0.9
1/5/2024;EUR;EUR;1
1/5/2024;GBP;EUR;1.125
1/5/2024;JPY;EUR;0.0067
1/5/2024;CAD;EUR;0.684
1/5/2024;AUD;EUR;0.621
1/5/2024;BRL;EUR;0.18
1/5/2024;KRW;EUR;0.0007
1/6/2024;USD;EUR;0.9
1/6/2024;EUR;EUR;1
1/6/2024;GBP;EUR;1.125
1/6/2024;JPY;EUR;0.0067
1/6/2024;CAD;EUR;0.684
1/6/2024;AUD;EUR;0.621
1/6/2024;BRL;EUR;0.18
1/6/2024;KRW;EUR;0.0007
1/7/2024;USD;EUR;0.9
1/7/2024;EUR;EUR;1
1/7/2024;GBP;EUR;1.125
1/7/2024;JPY;EUR;0.0067
1/7/2024;CAD;EUR;0.684
1/7/2024;AUD;EUR;0.621
1/7/2024;BRL;EUR;0.18
1/7/2024;KRW;EUR;0.0007
1/8/2024;USD;EUR;0.9
1/8/2024;EUR;EUR;1
1/8/2024;GBP;EUR;1.125
1/8/2024;JPY;EUR;0.0067
1/8/2024;CAD;EUR;0.684
1/8/2024;AUD;EUR;0.621
1/8/2024;BRL;EUR;0.18
1/8/2024;KRW;EUR;0.0007
1/9/2024;USD;EUR;0.9
1/9/2024;EUR;EUR;1
1/9/2024;GBP;EUR;1.125
1/9/2024;JPY;EUR;0.0067
1/9/2024;CAD;EUR;0.684
1/9/2024;AUD;EUR;0.621
1/9/2024;BRL;EUR;0.18
1/9/2024;KRW;EUR;0.0007
1/10/2024;USD;EUR;0.9
1/10/2024;EUR;EUR;1
1/10/2024;GBP;EUR;1.125
1/10/2024;JPY;EUR;0.0067
1/10/2024;CAD;EUR;0.684
1/10/2024;AUD;EUR;0.621
1/10/2024;BRL;EUR;0.18
1/10/2024;KRW;EUR;0.0007
1/11/2024;USD;EUR;0.9
1/11/2024;EUR;EUR;1
1/11/2024;GBP;EUR;1.125
1/11/2024;JPY;EUR;0.0067
1/11/2024;CAD;EUR;0.684
1/11/2024;AUD;EUR;0.621
1/11/2024;BRL;EUR;0.18
1/11/2024;KRW;EUR;0.0007
1/12/2024;USD;EUR;0.9
1/12/2024;EUR;EUR;1
1/12/2024;GBP;EUR;1.125
1/12/2024;JPY;EUR;0.0067
1/12/2024;CAD;EUR;0.684
1/12/2024;AUD;EUR;0.621
1/12/2024;BRL;EUR;0.18
1/12/2024;KRW;EUR;0.0007
1/1/2020;RUB;EUR;0.0105
1/1/2020;SGD;EUR;0.68
1/2/2020;RUB;EUR;0.0105
1/2/2020;SGD;EUR;0.68
1/3/2020;RUB;EUR;0.0105
1/3/2020;SGD;EUR;0.68
1/4/2020;RUB;EUR;0.0105
1/4/2020;SGD;EUR;0.68
1/5/2020;RUB;EUR;0.0105
1/5/2020;SGD;EUR;0.68
1/6/2020;RUB;EUR;0.0105
1/6/2020;SGD;EUR;0.68
1/7/2020;RUB;EUR;0.0105
1/7/2020;SGD;EUR;0.68
1/8/2020;RUB;EUR;0.0105
1/8/2020;SGD;EUR;0.68
1/9/2020;RUB;EUR;0.0105
1/9/2020;SGD;EUR;0.68
1/10/2020;RUB;EUR;0.0105
1/10/2020;SGD;EUR;0.68
1/11/2020;RUB;EUR;0.0105
1/11/2020;SGD;EUR;0.68
1/12/2020;RUB;EUR;0.0105
1/12/2020;SGD;EUR;0.68
1/1/2021;RUB;EUR;0.0105
1/1/2021;SGD;EUR;0.68
1/2/2021;RUB;EUR;0.0105
1/2/2021;SGD;EUR;0.68
1/3/2021;RUB;EUR;0.0105
1/3/2021;SGD;EUR;0.68
1/4/2021;RUB;EUR;0.0105
1/4/2021;SGD;EUR;0.68
1/5/2021;RUB;EUR;0.0105
1/5/2021;SGD;EUR;0.68
1/6/2021;RUB;EUR;0.0105
1/6/2021;SGD;EUR;0.68
1/7/2021;RUB;EUR;0.0105
1/7/2021;SGD;EUR;0.68
1/8/2021;RUB;EUR;0.0105
1/8/2021;SGD;EUR;0.68
1/9/2021;RUB;EUR;0.0105
1/9/2021;SGD;EUR;0.68
1/10/2021;RUB;EUR;0.0105
1/10/2021;SGD;EUR;0.68
1/11/2021;RUB;EUR;0.0105
1/11/2021;SGD;EUR;0.68
1/12/2021;RUB;EUR;0.0105
1/12/2021;SGD;EUR;0.68
1/1/2022;RUB;EUR;0.0105
1/1/2022;SGD;EUR;0.68
1/2/2022;RUB;EUR;0.0105
1/2/2022;SGD;EUR;0.68
1/3/2022;RUB;EUR;0.0105
1/3/2022;SGD;EUR;0.68
1/4/2022;RUB;EUR;0.0105
1/4/2022;SGD;EUR;0.68
1/5/2022;RUB;EUR;0.0105
1/5/2022;SGD;EUR;0.68
1/6/2022;RUB;EUR;0.0105
1/6/2022;SGD;EUR;0.68
1/7/2022;RUB;EUR;0.0105
1/7/2022;SGD;EUR;0.68
1/8/2022;RUB;EUR;0.0105
1/8/2022;SGD;EUR;0.68
1/9/2022;RUB;EUR;0.0105
1/9/2022;SGD;EUR;0.68
1/10/2022;RUB;EUR;0.0105
1/10/2022;SGD;EUR;0.68
1/11/2022;RUB;EUR;0.0105
1/11/2022;SGD;EUR;0.68
1/12/2022;RUB;EUR;0.0105
1/12/2022;SGD;EUR;0.68
1/1/2023;RUB;EUR;0.0105
1/1/2023;SGD;EUR;0.68
1/2/2023;RUB;EUR;0.0105
1/2/2023;SGD;EUR;0.68
1/3/2023;RUB;EUR;0.0105
1/3/2023;SGD;EUR;0.68
1/4/2023;RUB;EUR;0.0105
1/4/2023;SGD;EUR;0.68
1/5/2023;RUB;EUR;0.0105
1/5/2023;SGD;EUR;0.68
1/6/2023;RUB;EUR;0.0105
1/6/2023;SGD;EUR;0.68
1/7/2023;RUB;EUR;0.0105
1/7/2023;SGD;EUR;0.68
1/8/2023;RUB;EUR;0.0105
1/8/2023;SGD;EUR;0.68
1/9/2023;RUB;EUR;0.0105
1/9/2023;SGD;EUR;0.68
1/10/2023;RUB;EUR;0.0105
1/10/2023;SGD;EUR;0.68
1/11/2023;RUB;EUR;0.0105
1/11/2023;SGD;EUR;0.68
1/12/2023;RUB;EUR;0.0105
1/12/2023;SGD;EUR;0.68
1/1/2024;RUB;EUR;0.0105
1/1/2024;SGD;EUR;0.68
1/2/2024;RUB;EUR;0.0105
1/2/2024;SGD;EUR;0.68
1/3/2024;RUB;EUR;0.0105
1/3/2024;SGD;EUR;0.68
1/4/2024;RUB;EUR;0.0105
1/4/2024;SGD;EUR;0.68
1/5/2024;RUB;EUR;0.0105
1/5/2024;SGD;EUR;0.68
1/6/2024;RUB;EUR;0.0105
1/6/2024;SGD;EUR;0.68
1/7/2024;RUB;EUR;0.0105
1/7/2024;SGD;EUR;0.68
1/8/2024;RUB;EUR;0.0105
1/8/2024;SGD;EUR;0.68
1/9/2024;RUB;EUR;0.0105
1/9/2024;SGD;EUR;0.68
1/10/2024;RUB;EUR;0.0105
1/10/2024;SGD;EUR;0.68
1/11/2024;RUB;EUR;0.0105
1/11/2024;SGD;EUR;0.68
1/12/2024;RUB;EUR;0.0105
1/12/2024;SGD;EUR;0.68
